,car_age,car_age_category,car_brand,car_city,car_country,car_fuel,car_id,car_mileage,car_model,car_price
2616,27,Old,Lada,Tomsk,RUS,gasoline,2616,140.0k,2104,145.0k
2637,20,Old,Toyota,Barnaul,JP,gasoline,2637,100.0k,Corolla,790.0k
2638,15,Old,Audi,Barnaul,DE,gasoline,2638,131.5k,A3,950.0k
2647,22,Old,Lada,Ufa,RUS,gasoline,2647,68.0k,2104,125.0k
2657,16,Old,Mercedes-Benz,Barnaul,DE,gasoline,2657,201.0k,S-Class,1000.0k
2659,10,Old,Nissan,Barnaul,JP,gasoline,2659,87.0k,Qashqai,1920.0k
2662,29,Old,Toyota,Barnaul,JP,gasoline,2662,275.0k,Corsa,375.0k
2671,24,Old,Toyota,Barnaul,JP,gasoline,2671,370.0k,Funcargo,460.0k
2677,27,Old,Lada,Chita,RUS,gasoline,2677,200.0k,2104,57.0k
2682,14,Old,Toyota,Barnaul,JP,gasoline,2682,207.2k,RAV4,1639.0k
2688,16,Old,Nissan,Barnaul,JP,gasoline,2688,235.0k,X-Trail,1117.6k
2703,18,Old,Honda,Barnaul,JP,gasoline,2703,344.0k,Accord,960.0k
2728,14,Old,Mitsubishi,Barnaul,JP,gasoline,2728,270.0k,Outlander,1520.0k
2741,19,Old,Nissan,Barnaul,JP,gasoline,2741,290.0k,X-Trail,950.0k
2743,20,Old,Nissan,Barnaul,JP,gasoline,2743,240.0k,Gloria,590.0k
2747,13,Old,Subaru,Barnaul,JP,gasoline,2747,205.0k,Forester,1495.0k
2770,21,Old,Toyota,Barnaul,JP,gasoline,2770,361.7k,Corolla Spacio,640.0k
2773,11,Old,Daihatsu,Barnaul,JP,gasoline,2773,160.0k,Move,700.0k
2785,11,Old,Honda,Barnaul,JP,gasoline,2785,180.0k,CR-V,2350.0k
2801,33,Old,Mitsubishi,Barnaul,JP,diesel,2801,300.0k,Pajero,460.0k
2803,12,Old,Honda,Barnaul,JP,hybrid,2803,117.0k,Fit Shuttle,1109.0k
2809,21,Old,Ford,Barnaul,USA,gasoline,2809,210.0k,Mondeo,340.0k
2810,17,Old,Lada,Voronezh,RUS,gasoline,2810,78.0k,2105,105.0k
2814,12,Old,Toyota,Barnaul,JP,gasoline,2814,163.0k,RAV4,1790.0k
2821,11,Old,Infiniti,Barnaul,JP,gasoline,2821,206.3k,FX37,2530.0k
2840,8,Middle,Kia,Barnaul,KR,gasoline,2840,230.0k,Ceed,1300.0k
2848,10,Old,Suzuki,Barnaul,JP,gasoline,2848,101.1k,Hustler,927.0k
2876,14,Old,Nissan,Barnaul,JP,gasoline,2876,230.0k,Tiida,820.0k
2878,15,Old,Mercedes-Benz,Barnaul,DE,gasoline,2878,249.0k,GL-Class,1840.0k
2884,23,Old,Toyota,Barnaul,JP,gasoline,2884,256.6k,Verossa,679.0k
2896,8,Middle,Mercedes-Benz,Barnaul,DE,gasoline,2896,70.0k,GLE Coupe,5950.0k
2908,14,Old,Honda,Barnaul,JP,gasoline,2908,129.1k,Freed,1149.0k
